target_station_id,nearby_station_id_1,nearby_station_id_2,date,hour,period,pickup,dropoff,"is_empty_(0, 0, 0)","is_empty_(0, 0, 1)","is_empty_(0, 1, 0)","is_empty_(0, 1, 1)","is_empty_(1, 0, 0)","is_empty_(1, 0, 1)","is_empty_(1, 1, 0)","is_empty_(1, 1, 1)","is_full_(0, 0, 0)","is_full_(0, 0, 1)","is_full_(0, 1, 0)","is_full_(0, 1, 1)","is_full_(1, 0, 0)","is_full_(1, 0, 1)","is_full_(1, 1, 0)","is_full_(1, 1, 1)"
519,517,3235,2017-03-13,17,1,38,33,0,3,6,21,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,17,2,45,49,9,17,0,4,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,18,1,56,47,0,16,6,8,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,18,2,30,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,19,1,22,18,0,3,0,24,3,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,19,2,14,13,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,20,1,5,5,0,6,12,12,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,20,2,2,2,0,21,6,3,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,21,1,7,8,12,18,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,21,2,3,5,22,8,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,22,1,2,4,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,22,2,2,1,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,23,1,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,23,2,0,0,0,9,0,0,21,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,0,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,0,2,0,0,26,0,0,0,4,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,1,1,0,0,23,0,0,0,7,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,1,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,2,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,2,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,3,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,3,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,4,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,4,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,5,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,5,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,6,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,6,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,7,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,7,2,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-14,8,1,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0
